"請問您是否為大學生或研究生","性別","出生地","居住地","濾水裝置","飲用水來源","經歷水災","經歷限水","平均水價","自來水普及率","汙水下水道接管率","汙水來源","高用水地區","一度水幾公升","家庭用水比例最大","河川汙染最嚴重","愛河水質","會留意瓶裝水水源","旱災意識","水危機訊息","認為經過高級處理的淨水使用在澆花.洗車等方面是浪費的","認為回收水再利用麻煩","韓國首爾清溪川引漢江水打造都市水岸是永續的作法","認為臺灣水資源受到威脅是我們無力改善的事實","認為民眾無法干涉政府的治水政策","認為臺灣缺水不會發生在自己身上","可以主動地告訴大家如何正確用水","會告訴大家怎麼做才能讓水的使用更永續","會告訴身邊的人平時盡量自備水壺","會關心使用清潔劑對水資源造成的污染","家中的自來水塔有定期清理","減少淋浴時間與次數","水回收再利用","紙餐盒清洗後再回收"
1,1,2,2,1,5,0,1,1,1,0,1,0,0,1,1,1,5,5,5,5,3,3,4,2,1,4,4,5,3,3,4,2,5
1,0,1,1,0,5,1,0,1,0,1,0,1,1,0,0,0,3,5,4,5,2,4,3,3,3,4,4,5,5,3,5,5,3
1,0,1,2,1,5,0,1,0,0,1,1,0,0,1,0,0,2,3,3,3,1,4,2,2,1,3,3,3,3,3,4,5,4
1,1,2,2,1,3,0,0,0,0,1,1,0,0,0,1,0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,3,4,2,5,4,5,3,3,1,2,2,4,1,1,5,2,2
1,0,1,2,1,5,0,1,0,0,0,1,1,0,0,1,1,4,4,4,5,4,4,4,1,2,4,4,4,4,2,4,2,2
1,1,1,2,1,5,0,1,0,0,0,0,1,0,0,1,1,1,4,4,4,3,4,5,2,2,3,3,3,3,2,4,3,1
1,0,1,2,1,5,0,1,0,0,1,1,0,1,0,1,1,3,5,4,3,4,3,2,1,1,4,3,3,2,3,4,5,3
1,0,3,2,1,0,0,1,1,0,1,0,0,0,0,1,0,4,5,4,5,3,3,3,2,2,3,3,4,2,4,4,4,3
1,0,1,2,1,4,0,1,0,1,0,1,0,1,0,1,0,3,4,5,4,3,5,3,3,2,3,3,4,4,5,5,3,5
1,1,1,1,1,5,0,1,1,0,0,1,0,1,0,1,1,2,5,5,2,3,4,3,2,1,3,4,2,4,3,5,3,2
1,0,1,2,0,5,0,1,0,1,1,0,0,1,0,1,0,3,5,4,4,4,3,2,1,1,3,2,4,3,5,4,2,3
1,0,3,2,1,0,0,1,0,0,0,1,0,1,0,0,1,5,4,4,5,2,4,3,2,1,3,4,4,3,4,4,1,3
1,1,2,2,0,5,0,1,1,1,1,1,0,0,0,0,1,1,3,4,2,4,5,4,3,1,5,5,5,5,5,4,5,4
1,0,2,2,1,2,0,1,0,0,1,1,0,0,0,1,0,2,5,5,4,1,5,2,2,1,5,5,5,3,4,4,4,3
1,0,2,2,1,5,0,1,0,0,1,1,0,1,0,1,1,2,1,4,5,1,5,1,1,1,3,3,4,2,4,5,5,2
1,0,1,2,1,5,0,1,0,0,1,1,0,0,0,1,1,1,5,3,5,3,5,4,2,1,2,2,2,2,5,3,2,4
1,0,1,1,1,5,0,1,0,0,0,1,0,0,0,0,0,3,4,5,4,2,4,2,2,1,4,4,4,5,3,4,2,4
1,0,2,2,0,3,0,1,0,0,1,1,0,0,1,1,1,2,4,4,4,2,3,3,2,2,2,3,3,2,2,4,4,3
1,0,2,2,1,3,0,1,0,0,0,1,0,1,0,1,0,1,4,3,4,3,4,5,2,2,1,2,3,3,1,4,2,3
1,1,1,1,1,5,0,0,0,1,0,0,0,0,0,1,0,5,3,4,4,3,3,1,2,1,1,1,1,2,3,5,1,3
1,0,3,2,1,5,0,1,0,0,1,1,1,0,1,1,1,2,4,4,3,3,4,2,2,1,3,3,4,3,3,4,2,4
1,0,1,1,1,5,0,1,0,0,0,1,0,0,0,0,1,1,5,4,1,1,5,2,1,1,4,4,5,2,1,4,3,5
1,0,1,1,1,5,0,1,0,0,0,1,0,0,0,0,0,3,4,5,4,2,4,2,2,1,4,4,4,5,3,4,2,4
1,0,0,2,1,4,0,1,0,1,0,0,1,0,0,0,1,1,1,1,5,4,5,3,2,1,3,1,5,1,1,1,4,4
1,0,1,1,0,5,1,0,0,0,1,1,0,0,0,1,1,1,3,4,4,3,2,2,2,1,3,2,2,4,2,5,3,4
1,0,3,2,1,5,0,1,0,0,0,1,1,0,0,0,1,2,5,5,1,1,4,2,1,1,4,4,3,4,2,4,1,1
1,0,2,2,1,4,0,0,0,0,0,1,0,0,0,1,1,1,5,5,2,3,5,3,5,1,3,3,5,3,5,1,5,3
1,0,2,2,1,1,1,1,0,0,1,1,1,1,1,1,0,5,5,5,5,5,5,1,1,1,3,3,4,3,3,4,1,5
1,0,1,2,1,5,0,0,0,0,0,1,0,1,0,1,1,2,4,3,4,3,5,5,2,3,3,2,4,2,3,4,4,4
1,0,3,2,0,2,1,1,0,0,1,0,0,1,0,1,1,4,4,4,4,2,4,4,2,2,3,3,4,4,3,4,4,3
1,1,1,2,1,5,0,1,0,1,0,0,0,1,0,1,1,2,5,4,3,2,3,3,3,1,3,4,5,4,2,5,5,2
1,0,2,2,1,5,0,1,0,0,0,1,0,0,0,0,1,3,5,4,5,3,3,2,4,1,3,3,1,3,2,4,3,2
1,1,2,2,0,3,0,1,0,0,0,1,1,0,0,1,0,1,3,2,1,5,5,3,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,5,0,0,1,0,0,1,0,1,1,1,1,1,4,4,5,3,3,1,1,2,3,3,3,1,4,4,4,4
1,0,3,3,1,5,0,1,0,0,1,1,0,0,1,0,0,2,5,5,5,2,5,2,4,2,5,4,4,5,1,5,4,5
1,0,2,2,1,5,0,1,0,0,0,0,0,0,0,0,0,4,5,4,5,2,3,1,1,1,2,2,1,1,3,4,2,4
1,0,1,1,0,5,0,1,0,0,0,0,0,0,1,0,1,3,4,4,5,3,4,2,2,2,3,3,3,3,4,2,2,1
1,1,1,2,0,3,0,0,0,1,0,1,0,1,0,0,0,3,3,5,3,5,4,4,3,2,4,4,4,4,3,5,1,1
1,1,2,2,1,5,0,0,1,1,0,0,0,0,0,1,0,1,3,5,5,2,5,5,2,2,3,3,5,3,5,4,2,3
1,0,3,2,1,5,0,1,0,0,0,1,1,1,1,0,0,3,3,2,5,2,3,4,2,1,2,3,3,2,1,2,1,3
1,1,1,1,1,5,0,1,1,0,1,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,0,3,3,0,5,0,1,0,0,0,1,0,0,0,1,1,5,5,5,5,1,5,1,1,1,5,5,5,5,3,5,5,5
1,0,3,3,1,4,1,1,0,1,1,0,0,0,0,1,1,5,3,5,5,2,4,2,2,1,2,4,4,5,3,5,3,5
1,0,2,2,1,5,0,1,0,0,0,0,0,0,0,1,1,1,5,5,5,3,1,4,2,1,3,3,1,1,5,5,1,5
1,1,1,2,1,5,1,1,0,0,1,1,0,0,0,1,0,3,5,4,4,2,4,3,2,1,4,4,3,4,4,4,3,4
1,1,2,2,1,5,0,1,1,1,1,1,1,0,0,1,1,1,5,5,3,1,5,2,1,1,3,4,3,4,5,5,3,5
1,1,2,2,1,5,0,1,0,1,0,1,0,1,0,0,0,2,5,5,3,4,5,3,1,1,3,3,4,3,3,5,4,1
1,1,2,2,1,5,0,1,1,1,1,1,0,1,1,0,1,4,4,4,5,1,4,2,1,1,4,4,4,3,4,5,4,4
1,1,3,3,1,5,1,1,0,0,0,0,0,0,1,0,0,4,4,4,5,1,5,1,2,1,3,3,5,3,5,4,3,5
1,0,3,2,1,0,1,0,0,0,0,0,0,1,0,0,1,2,2,4,3,2,4,2,1,1,4,2,3,2,2,1,4,4
1,0,1,1,1,5,0,1,0,0,1,0,0,0,0,0,0,2,2,3,3,3,4,3,2,2,2,2,3,2,3,2,2,4
1,0,1,1,1,5,0,1,0,1,0,0,0,0,0,1,1,2,4,4,4,4,4,2,2,2,2,3,4,4,2,3,2,3
1,1,1,1,1,5,0,1,0,0,0,1,0,0,0,1,1,5,5,5,5,2,4,1,1,1,5,5,5,5,5,1,2,5
1,0,2,2,1,3,0,1,1,0,0,0,0,1,0,1,1,5,5,5,5,4,4,3,3,1,4,4,4,4,4,5,4,3
1,1,1,2,1,5,0,1,0,0,0,0,1,1,0,0,1,2,4,3,3,5,5,3,2,1,3,4,5,2,3,5,1,2
1,1,1,2,0,3,0,1,0,1,0,1,0,0,0,1,1,3,5,4,5,4,5,5,3,1,3,3,3,5,3,3,2,2
1,0,2,2,1,4,0,1,0,0,0,1,0,0,0,1,0,3,3,4,3,2,3,2,2,1,1,1,3,1,1,4,3,5
1,1,1,1,1,5,0,1,0,0,0,1,0,1,0,0,1,1,4,4,3,3,4,2,1,1,4,3,3,3,3,4,4,5
1,1,2,2,1,5,1,1,1,0,1,1,0,1,0,0,1,4,5,4,5,2,2,4,2,1,4,4,4,4,4,4,4,5
1,1,3,1,0,3,0,0,0,0,0,0,1,0,1,0,1,4,4,3,4,3,5,5,5,4,4,3,4,3,5,5,5,4
1,1,3,1,0,2,1,1,0,0,0,0,0,1,0,1,0,4,5,3,5,3,4,2,1,1,3,3,3,3,5,3,5,2
1,1,3,3,1,5,1,1,0,0,1,0,1,0,1,1,1,1,5,3,5,1,4,4,5,5,5,5,5,5,5,5,5,5
1,1,3,3,1,5,0,1,1,1,1,0,1,1,0,1,0,3,5,4,5,4,4,5,2,2,4,5,4,3,5,5,2,5
1,0,3,2,1,5,0,1,0,0,0,1,0,0,1,1,0,2,4,4,4,3,4,5,3,1,3,2,4,3,4,4,3,4
1,1,3,3,1,5,0,1,0,0,0,1,0,1,0,0,0,5,5,5,5,1,5,2,1,1,3,3,2,4,5,5,3,5
1,1,3,0,1,5,0,1,0,0,1,0,0,0,1,1,0,3,2,4,5,2,4,5,4,2,4,4,3,3,3,4,2,4
1,1,1,1,1,5,0,1,0,0,0,0,1,0,0,1,1,4,3,4,4,5,4,3,2,3,4,4,3,4,4,2,3,5
1,1,3,3,1,5,0,1,0,1,0,0,0,1,0,1,1,4,5,4,5,3,4,3,2,1,2,2,2,2,2,2,2,2
1,1,3,3,1,5,1,0,0,0,1,1,1,1,1,0,0,1,4,4,5,2,4,2,2,1,4,3,4,3,3,4,3,5
1,1,1,1,1,5,0,1,1,0,0,1,1,0,0,1,0,2,5,5,5,4,5,2,3,2,4,4,4,4,4,4,4,4
1,0,3,3,0,5,0,1,0,0,0,1,0,1,0,0,1,4,4,5,5,1,5,2,1,1,4,4,5,4,4,5,5,5
1,0,3,3,1,5,0,1,0,0,0,0,0,0,0,0,1,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
1,0,3,2,1,0,1,1,0,0,1,1,0,0,0,1,0,1,4,4,4,4,5,2,1,1,4,4,4,4,3,5,3,2
1,1,3,3,1,5,1,1,1,1,0,1,1,1,0,1,1,2,4,5,5,2,2,4,2,2,5,4,4,3,4,4,4,3
1,0,3,2,1,2,0,1,1,0,0,0,0,0,0,0,1,2,4,4,4,3,4,3,2,2,3,3,3,3,3,3,2,3
1,0,1,1,1,5,0,1,0,0,0,1,0,1,0,1,0,1,3,4,2,3,4,4,2,3,4,4,4,2,4,4,2,5
1,0,2,2,1,5,0,0,0,0,1,0,0,1,0,1,0,4,2,3,3,4,4,2,2,2,2,2,3,3,4,4,2,4
1,1,3,3,1,2,1,1,0,0,0,1,0,0,0,0,1,3,4,4,5,2,5,3,2,2,3,3,3,3,3,3,4,4
1,1,3,3,1,2,1,1,1,1,0,1,1,1,1,1,1,4,4,4,4,2,5,2,1,1,3,3,3,3,3,2,4,4
1,1,3,3,0,2,0,0,1,0,1,0,0,0,0,0,0,3,3,3,4,4,3,3,3,3,3,5,4,3,3,3,3,3
1,0,3,1,1,5,1,0,1,0,1,1,0,0,1,0,1,3,3,4,2,1,4,1,1,1,3,4,4,4,4,4,3,3
1,1,3,0,1,5,0,1,1,1,1,1,0,1,1,1,1,3,4,4,4,2,4,2,2,1,3,3,2,2,4,3,4,4
1,1,3,3,1,5,1,1,0,1,1,1,1,1,0,0,1,1,4,3,5,2,5,2,2,1,3,3,4,4,2,5,3,5
1,0,2,2,1,5,0,1,1,0,1,0,1,1,0,1,1,3,4,5,2,2,3,3,3,1,2,2,2,3,2,5,4,5
1,1,2,1,1,5,1,1,0,0,0,0,0,1,1,1,1,3,4,4,4,2,4,2,2,1,3,3,4,3,3,4,3,3
1,1,3,3,1,5,0,0,1,1,1,0,1,1,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,0,3,3,0,5,0,1,0,0,1,0,0,0,0,0,0,3,3,3,2,2,4,3,4,2,3,3,2,3,3,2,3,5
1,0,3,3,1,3,0,0,0,0,1,0,0,0,1,0,1,4,4,5,5,1,4,2,1,1,4,4,4,4,3,5,4,4
1,1,3,3,0,2,1,1,0,0,0,0,0,1,0,1,0,5,5,5,4,1,5,1,1,1,3,4,4,3,3,4,5,4
1,0,1,1,1,5,0,1,0,0,0,1,0,1,0,0,0,2,3,4,5,4,4,2,1,1,3,3,3,2,1,3,2,4
1,0,3,3,1,5,0,1,1,1,1,1,0,0,1,1,1,4,5,5,5,4,5,5,3,2,4,4,5,4,3,5,3,5
1,1,3,3,1,5,1,0,1,0,0,1,0,1,0,1,0,5,5,3,4,2,5,4,1,1,4,4,5,4,3,4,2,3
1,0,2,2,0,5,0,0,0,0,0,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4
1,0,2,2,1,5,1,1,0,1,0,1,0,0,0,0,0,1,5,4,2,3,4,2,2,1,2,1,4,3,4,5,1,5
1,1,3,1,1,5,0,0,0,1,0,1,0,1,0,1,1,3,5,5,5,2,4,3,1,1,4,4,5,4,1,4,5,4
1,0,2,2,1,5,0,0,0,0,1,0,0,0,1,1,1,2,5,5,5,3,4,5,2,2,3,2,3,3,4,4,2,3
1,0,3,3,1,5,1,1,1,0,1,0,1,0,0,0,1,3,4,5,4,2,4,3,2,2,4,4,4,4,3,3,5,4
1,1,2,2,1,2,0,1,0,1,0,1,0,1,1,0,0,5,5,4,3,3,4,2,2,2,4,4,4,4,4,5,4,5
1,1,3,3,1,5,0,1,0,1,0,1,0,1,0,0,0,3,4,4,3,3,4,3,2,2,3,3,4,4,3,4,3,3
1,1,2,3,1,5,1,1,0,1,0,0,1,1,0,1,0,3,3,5,4,5,4,4,5,4,4,3,4,3,4,2,3,3
1,1,2,2,1,5,0,1,0,1,0,1,0,0,0,1,0,5,5,5,2,5,5,5,3,1,4,4,3,3,3,4,3,5
1,1,3,2,1,5,0,0,1,1,0,1,0,1,0,1,0,4,4,5,3,2,4,2,1,1,4,4,4,4,4,4,2,3
1,1,2,2,0,2,0,1,0,1,0,1,0,0,1,0,0,1,4,3,4,2,3,2,2,1,2,3,2,3,2,4,2,4
1,1,2,2,0,2,0,1,0,0,0,1,0,1,0,0,0,2,4,4,5,5,3,4,1,1,3,3,3,3,3,3,3,3
1,1,3,1,1,5,0,1,0,1,0,1,0,0,0,0,0,3,5,2,4,4,4,4,2,2,3,4,3,3,2,3,2,3
1,1,2,2,1,3,0,1,0,1,0,1,0,0,0,1,1,3,5,4,3,3,4,3,5,3,5,5,4,5,4,5,4,5
